Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
516	8.036114	0.92518083
517	7.5382979	0.6050642
518	7.3007716	0.52118463
519	8.3592423	0.65119657
520	7.347319	0.59600257
521	5.7627811	0.87125784
522	5.127609	0.80032698
523	5.2468258	1.1003815
524	5.2290048	0.44444819
525	4.8410266	0.56046685
526	3.4556547	0.55506121
527	4.1803463	0.44949145
528	5.1249557	0.56805321
529	4.7242989	0.46838097
530	4.5784908	0.42273011
531	3.9208157	0.35407459
532	4.2447282	0.42979848
533	5.8659895	0.76837785
534	4.9956564	1.2068716
535	4.8812003	0.62823109
536	3.8031744	0.70966237
537	3.6147271	1.0788773
538	4.4043504	1.0008852
539	4.2333059	0.63695646
540	3.0121673	1.1419574
541	1.7961679	0.51453409
542	2.6453914	0.25811562
543	3.7112731	0.37462129
544	3.8433366	0.54665744
545	4.3051973	0.30133829
546	4.9722877	0.66937672
547	8.3923351	1.2502026
548	8.0019416	0.86217081
549	7.3554926	0.64972702
550	7.5459421	0.80899368
551	6.6673263	0.72777704
552	6.7202681	0.53316533
553	6.8558178	0.57656358
554	6.2513752	0.66029469
555	6.6504637	0.45034357
556	5.7628376	0.46424563
557	5.2062364	0.6135803
558	6.0470086	0.73223005
559	5.4826325	0.43987463
560	4.8020731	0.33141839
561	6.8724731	0.96693853
562	7.5757311	0.77281262
563	8.3667228	1.5670954
564	7.954017	0.6692948
565	8.8256633	0.86177087
566	9.3750967	0.75350026
567	9.9335363	0.66308641
568	10.661458	0.51085092
569	12.338172	1.1950433
570	11.767441	1.1510205
571	11.884243	0.92136279
572	11.230901	0.95819385
573	9.9411763	0.79352226
574	8.6444385	0.85650724
575	9.1448266	0.8726308
576	8.9191086	0.87832585
577	9.3510645	0.70248561
578	8.6900397	0.61483378
579	8.7430472	0.8522052
580	7.9389362	0.96874685
581	7.3802473	0.81047003
582	7.0643524	0.75014011
583	6.4517249	0.5236179
584	6.17144	0.49046788
585	5.7235239	0.36560437
586	5.8065564	0.40516884
587	5.1168238	0.38560679
588	4.2807175	0.56773554
589	3.5003672	0.57431776
590	3.0557888	0.67872239
591	4.8753171	0.42973516
592	4.6434905	0.22573986
593	3.5857392	0.64592544
594	4.9777324	0.50148557
595	5.8884345	0.32064685
596	5.7886167	0.26661865
597	6.9174556	0.30673123
598	7.0337405	0.65417109
599	7.3744481	0.91040949
600	7.8299058	0.8091958
601	8.4887191	0.68332636
602	9.1833898	0.97138904
603	10.018819	1.1990427
604	11.524618	1.8742801
605	11.586877	1.7164015
606	9.3841752	0.93370587
607	7.9872003	0.95928743
608	7.7516586	0.66149094
609	7.009883	0.61808125
610	6.6127619	0.51269465
611	5.9811553	0.61846688
612	5.6682545	0.71156119
613	5.1709597	0.87725731
614	5.1442377	0.97325388
615	5.0825427	0.91257303
616	5.4857415	0.82815973
617	6.3358515	0.71898907
618	7.3962991	0.79434432
619	7.3297397	0.94155909
620	6.9036581	0.90218637
