"SUL 2-15
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0008041± 0.00000019343
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1102-21,12,"1,607E-15","1,180E-03","2,478E-06","1,866E-03","2,612E-06","2,896E-05","1,158E-07","5,064E-06","5,570E-08","5,007E-07","1,222E-08","1,00900","0,2","91,9","782,7","± 4,3","31,0","0,4","9,037E-18","7,116E-06","1,779E-07","7,635E-07","2,008E-07","1,918E-09","1,573E-09","3,113E-08","1,753E-08","1,630E-07","1,042E-08"
N1102-22,12,"1,505E-15","1,106E-03","1,548E-06","1,627E-03","2,114E-06","2,563E-05","1,025E-07","3,612E-06","5,418E-08","7,580E-07","1,478E-08","1,00899","0,2","85,5","781,8","± 5,5","37,9","0,7","9,281E-18","7,308E-06","1,315E-08","9,710E-07","1,029E-07","1,918E-09","1,899E-09","3,113E-08","3,082E-08","1,956E-07","1,408E-08"
N1102-23,12,"2,079E-15","1,525E-03","1,677E-06","1,663E-03","2,328E-06","2,737E-05","1,095E-07","8,417E-06","4,293E-08","2,167E-06","2,643E-08","1,00906","0,2","63,2","781,0","± 8,0","16,6","0,2","9,281E-18","7,308E-06","1,315E-08","9,710E-07","1,029E-07","1,918E-09","1,899E-09","3,113E-08","3,082E-08","1,956E-07","1,262E-08"
N1102-24,12,"3,160E-15","2,314E-03","2,545E-06","3,489E-03","5,233E-06","5,285E-05","1,744E-07","1,194E-05","7,164E-08","1,554E-06","2,020E-08","1,00918","0,2","83,1","785,6","± 4,7","29,2","0,3","9,671E-18","7,615E-06","2,132E-07","9,706E-07","1,029E-07","5,000E-10","4,950E-10","4,360E-09","4,316E-09","1,753E-07","1,106E-08"
N1102-25,12,"2,705E-15","1,984E-03","3,373E-06","2,805E-03","3,506E-06","4,312E-05","1,294E-07","4,845E-06","6,783E-08","1,754E-06","1,930E-08","1,00913","0,2","77,3","778,6","± 5,7","57,9","1,0","1,251E-17","9,852E-06","3,153E-07","1,828E-06","2,468E-07","3,126E-09","2,313E-09","1,476E-08","1,045E-08","1,843E-07","1,861E-08"
N1102-26,12,"1,902E-15","1,398E-03","2,237E-06","2,057E-03","1,851E-06","3,098E-05","9,294E-08","7,364E-06","5,155E-08","1,105E-06","1,989E-08","1,00904","0,2","81,2","784,2","± 6,7","27,9","0,3","1,251E-17","9,852E-06","3,153E-07","1,828E-06","2,468E-07","3,126E-09","2,313E-09","1,476E-08","1,045E-08","1,843E-07","1,861E-08"
N1102-27,12,"1,499E-14","1,095E-02","8,762E-06","2,401E-03","2,641E-06","4,225E-05","7,183E-08","8,840E-06","5,569E-08","3,404E-05","1,089E-07","1,01053","0,2","12,2","795,2","± 48,2","27,2","0,3","1,251E-17","9,852E-06","3,153E-07","1,828E-06","2,468E-07","3,126E-09","2,313E-09","1,476E-08","1,045E-08","1,843E-07","2,005E-08"
N1102-28,12,"3,774E-15","2,763E-03","3,316E-06","2,735E-03","3,282E-06","4,129E-05","1,115E-07","9,677E-06","8,129E-08","4,617E-06","3,417E-08","1,00925","0,2","54,3","782,8","± 8,7","28,3","0,3","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
D1 Mass discrimina-on per AMU based on power law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bold italic font: crystals excluded from the weighted mean age calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Age,"± 1s (analy,cal)",,± 1s (external),MSWD,,,,,,,,,,,
"Interfering Isotope produc,on ra,os",,,Standard,ACs-2,,,,,,,,,,,ka,ka,,ka,,,,,,,,,,,,
(40Ar/39Ar)k,8.439 E-04 ± 25 %,,Age,1.193 ± 0.02 Ma,,,,,Weighted Mean age,,,,,,"781,30","1,15",,"8,30","0,74",,,,,,,,,,,
(36Ar/37Ar)Ca,4.034 E-04 ± 5.96%,,Irr -me,105 minutes,,,,,Inverse Isochron,,,,,,"781,10","2,10",,"8,40","0,96",,,,,,,,,,,
(39Ar/37Ar)Ca,5.288 E-04 ± 25 %,,Reactor,Osiris 70Mw (France),,,,,(40Ar/36Ar)Int (1σ),,,,,,295.8 ± 1.5,,,,,,,,,,,,,,,
(38Ar/37Ar)Ca,1.447 E-04 ± 26 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atmospheric argon ra,os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/36Ar)A,295.5 ± 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/38Ar)A,0.1880 ± 0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decay constants (S-J 1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K le (5.81 ± 0.00)E-11 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K lb (4.962 ± 0.000)E-10 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"SUL 2-22
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/14/2012","J=0.0007576± 0.0000001515
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1098-01,12,"1,451E-15","1,070E-03","1,926E-06","1,719E-03","1,891E-06","2,699E-05","1,080E-07","5,370E-06","4,296E-08","2,750E-07","1,375E-08","1,0090","0,2","98,1","834,8","± 6,6","35,3","0,4","1,368E-17","1,077E-05","2,154E-07","9,213E-08","1,935E-08","2,995E-09","1,587E-09","1,286E-08","1,222E-08","2,000E-07","2,300E-08"
